,avg_acidity,white,rank
0,2.6999999999999997,0.0,5
1,2.893333333333333,0.0,5
2,2.8666666666666667,0.0,5
3,4.013333333333333,0.0,6
4,2.6999999999999997,0.0,5
5,2.686666666666667,0.0,5
6,2.8533333333333335,0.0,5
7,2.65,0.0,7
8,2.7999999999999994,0.0,7
9,2.7866666666666666,0.0,5
10,2.4533333333333336,0.0,5
11,2.7866666666666666,0.0,5
12,2.0716666666666668,0.0,5
13,2.9,0.0,5
14,3.233333333333333,0.0,5
15,3.2366666666666664,0.0,5
16,3.1133333333333333,0.0,7
17,2.98,0.0,5
18,2.69,0.0,4
19,2.91,0.0,6
20,3.2000000000000006,0.0,6
21,2.766666666666666,0.0,5
22,2.846666666666667,0.0,5
23,3.033333333333333,0.0,5
24,2.48,0.0,6
25,2.283333333333333,0.0,5
26,2.75,0.0,5
27,2.846666666666667,0.0,5
28,2.603333333333333,0.0,5
29,2.815,0.0,6
30,2.481666666666667,0.0,5
31,2.5283333333333338,0.0,6
32,3.025,0.0,5
33,2.541666666666667,0.0,6
34,1.9233333333333336,0.0,5
35,2.815,0.0,6
36,2.846666666666667,0.0,6
37,2.92,0.0,7
38,2.3066666666666666,0.0,4
39,2.703333333333333,0.0,5
40,2.703333333333333,0.0,5
41,3.236666666666667,0.0,4
42,2.73,0.0,6
43,2.9933333333333336,0.0,5
44,2.4966666666666666,0.0,5
45,1.7566666666666666,0.0,4
46,3.0216666666666665,0.0,5
47,3.1699999999999995,0.0,5
48,2.3433333333333337,0.0,5
49,2.0933333333333333,0.0,5
50,3.24,0.0,5
51,2.3866666666666663,0.0,6
52,2.38,0.0,6
53,3.1133333333333333,0.0,5
54,2.7533333333333334,0.0,6
55,2.7866666666666666,0.0,5
56,3.73,0.0,5
57,2.75,0.0,5
58,2.856666666666667,0.0,5
59,2.6666666666666665,0.0,6
60,3.2000000000000006,0.0,5
61,2.9600000000000004,0.0,5
62,2.7266666666666666,0.0,7
63,2.595,0.0,5
64,2.658333333333333,0.0,5
65,2.658333333333333,0.0,5
66,2.7099999999999995,0.0,5
67,2.4583333333333335,0.0,5
